"date","platform","handle","followers","views","outlier_x","niche","format_template","hook_text","hook_visual","hook_audio","audio_mix","pacing","effort","why_it_worked","our_adaptation","priority","content_id","url"
"2026-07-30","instagram","lovedottyx","1800","122400","37.9","Lifestyle","fast product tour montage","I'm so excited today (📍Al Kabayel Prime, Al Barsha 3)","매장 앞 드라이빙 진입샷","업비트 음악 + 열정 보이스오버","voice+music","fast","1일","지명 핀 + 저가 홈굿즈 소싱 정보 = 저장·공유 최적화. 1.8K 팔로워로 122K","'두바이 리노베 자재 어디서 사나' 소싱 맵 — 가이드 부록으로 전환","Mid","DaNnb4quyuE","https://www.instagram.com/reel/DaNnb4quyuE/"
"2026-07-30","instagram","antoniolekic","28000","103800","25.0","Lifestyle & Expat","walking monologue","So I live in Dubai,","헤드폰 쓰고 걸으며 정면 발화","즉시 발화 + 야외 앰비언스","voice_only","moderate","1시간","제작비 0의 워킹 모놀로그 — 두바이 거주 프레임 자체가 훅","워킹 모놀로그 기법만 참고 (촬영 장비 불필요)","Low","DaTc1Y8inPT","https://www.instagram.com/reel/DaTc1Y8inPT/"
"2026-07-30","instagram","barshaluxestay","1600","46600","15.1","Real Estate","panoramic room tour (loop)","🛑 STOP SCROLLING! Your Dream Partition in Dubai","방 슬로우 패닝 1컷","힌디 인기곡 즉시","music_only","slow","1시간","루프 설계 + 강제 정지 훅. 1컷으로 46K — 최소 제작의 하한선","루프 설계 원칙만 참고 (엔딩=시작 프레임)","Low","Dawfq_msEDR","https://www.instagram.com/reel/Dawfq_msEDR/"
"2026-07-30","instagram","tunmiseojo","2000","35200","153.9","Lifestyle","talking head monologue","2 YEARS IN DUBAI AND I'VE REALISED","머리 짚고 사색하는 정면 토킹","즉시 발화","voice_only","moderate","1시간","오늘 최고 배수(153.9x). '2년 살아보니' = 3초에 경험 권위를 부여하는 시간 프레임","'두바이 업체 649곳 1년 모아보니 알게 된 것 3가지' — 데이터 권위 버전","High","DagFb2eOptj","https://www.instagram.com/reel/DagFb2eOptj/"
"2026-07-30","tiktok","nuktadubai","76000","71400","24.6","Travel","b-roll + static text","Invite Family to Dubai, Unlock AED 3,000+ in Perks","선셋 아인두바이 보트샷","보트 앰비언스 + 'Habibi come to Dubai' 클립","raw_ambient","slow","1시간","10초 · b롤 1컷 + 정책 뉴스. 제작비 최저 정보형 포맷","정책 뉴스 포맷: 'DEWA·관리사무소 리노베 허가 규정 바뀐 것' b롤 1컷","Mid","7665251241231928597","https://www.tiktok.com/@nuktadubai/video/7665251241231928597"
"2026-07-30","tiktok","invest_with_alhashmi","4700","42500","30.0","Travel & Lifestyle","host + alternating slides","ALLOWED VS NOT ALLOWED IN DUBAI","에미라티 전통복 호스트 정면 + 즉시 텍스트","업비트 인스트루멘탈 즉시","voice+music","fast","1시간","허용/금지 이분법 = 두바이 거주자 필수 정보. 판단 부담 0의 소비 구조","'Allowed vs Not allowed — 두바이 아파트 리노베' (벽 철거·발코니 유리·바닥재) 가이드 기반 슬라이드","High","7657901253254466823","https://www.tiktok.com/@invest_with_alhashmi/video/7657901253254466823"
"2026-07-30","tiktok","yasminesays","25300","108100","22.1","Lifestyle","vlog commentary","9am in Dubai.","선글라스 셀피 워킹샷","즉시 대화체 발화","voice_only","moderate","1시간","3단어 시간·장소 훅으로 상황 즉시 성립 — 두바이 거주자 공감대","3단어 상황 훅 기법 참고","Low","7657155177111112981","https://www.tiktok.com/@yasminesays/video/7657155177111112981"
"2026-07-30","tiktok","ramzinrealestate","868600","170200","32.2","Real Estate","walking property tour","(무텍스트)","모던 거실에서 카메라로 걸어오며 지목","에너제틱 비트 즉시","voice+music","fast","1일","대형 계정의 표준 럭셔리 투어 — 배수는 높으나 재현 자산(럭셔리 물건) 필요","재현 불가 (물건 접근성 문제). 기법만 기록","Low","7664262870414396692","https://www.tiktok.com/@ramzinrealestate/video/7664262870414396692"
"2026-07-30","tiktok","robiemaecunignig","3500","881900","39.5","Home & Lifestyle","pov interior tour","Before we moved in..","문 열고 빈 집 공개하는 POV","트렌딩 팝 즉시","music_only","moderate","1시간","오늘 최대 뷰(881K). '입주 전' 프레임 + 문 여는 리빌 동작 = 보편 호기심 장치","'입주 전 → 리노베 후' 문 여는 리빌 포맷 (업체 제공 B/A 사진 대체 가능)","Mid","7658284755737251092","https://www.tiktok.com/@robiemaecunignig/video/7658284755737251092"
"2026-07-30","tiktok","brook_realestate","984200","286500","105.9","Real Estate","host + b-roll walkthrough","(무텍스트)","럭셔리카 창밖으로 미소 짓는 정면","팝 트랙 + 암하라어 인사","voice+music","moderate","1일","디아스포라 모국어 인사 = 3초에 커뮤니티 소속감. 105배","i18n 언어팩(AR/KO/RU) 활용 — 모국어 인사 3초 훅 버전 3종 제작","Mid","7660501805574393109","https://www.tiktok.com/@brook_realestate/video/7660501805574393109"
"2026-07-30","tiktok","jeffreyr0ce","14000","169700","35.5","Career","voiceover career vlog","How much is the salary of an entry level bank staff in the UAE.","셀피 워킹 클로즈업","즉시 발화","voice_only","moderate","1일","'얼마 버나' 금액 질문형 = 검색·저장 수요 직결","'두바이 인테리어 업체는 견적을 어떻게 매기나' 금액 질문형 — 계산기 유입 훅","Mid","7661304597914471688","https://www.tiktok.com/@jeffreyr0ce/video/7661304597914471688"
"2026-07-30","tiktok","monir.realtor.dubai2","21900","178400","30.1","Real Estate","walk-through showcase","READY TO MOVE","타운하우스 앞에서 제스처","벵골어 즉시 발화","voice_only","moderate","1시간","비영어(벵골어) 콘텐츠가 오히려 아웃라이어 — 두바이 남아시아 커뮤니티 미충족 수요","비영어 커뮤니티 타겟 검증 신호 — 언어팩 확장 근거로 기록","Mid","7661279473177890069","https://www.tiktok.com/@monir.realtor.dubai2/video/7661279473177890069"
